Cidade,Ano,Estadual,Particular,KPI_Participacao_Privada,KPI_Crescimento_Total,KPI_Predominio_Publico
Anápolis,2014,9410.0,1288.0,12.039633576369415,,7.305900621118012
Anápolis,2015,9100.0,125.0,1.3550135501355014,-3.2943676939426125,72.8
Anápolis,2016,9790.0,129.0,1.3005343280572639,7.582417582417578,75.89147286821705
Anápolis,2017,9320.0,1191.0,11.330986585481877,-4.800817160367721,7.825356842989085
Anápolis,2018,1109.0,1244.0,52.868678283042925,-88.10085836909872,0.8914790996784566
Anápolis,2019,9950.0,1284.0,11.42958874844223,797.204688908927,7.749221183800623
Anápolis,2020,9000.0,1316.0,12.756882512601782,-9.547738693467334,6.838905775075988
Anápolis,2021,8730.0,1237.0,12.410956155312531,-3.0000000000000027,7.057396928051738
Anápolis,2022,9590.0,1281.0,11.783644558918223,9.851088201603675,7.4863387978142075
Anápolis,2023,9190.0,1339.0,12.717257099439644,-4.171011470281538,6.863330843913368
Anápolis,2024,9270.0,1434.0,13.396860986547084,0.8705114254624613,6.464435146443515
Goiânia,2014,2886.0,5591.0,65.95493688805001,,0.5161867286710785
Goiânia,2015,2695.0,5748.0,68.0800663271349,-6.618156618156624,0.46885873347251217
Goiânia,2016,2822.0,5835.0,67.4021023449232,4.712430426716141,0.48363324764353044
Goiânia,2017,2822.0,5752.0,67.08654070445533,0.0,0.49061196105702365
Goiânia,2018,2869.0,5787.0,66.85536044362293,1.6654854712969458,0.4957663729047866
Goiânia,2019,2555.0,5798.0,69.41218723811804,-10.944579993028924,0.44066919627457746
Goiânia,2020,246.0,5507.0,95.72397010255519,-90.37181996086106,0.04467041946613401
Goiânia,2021,2303.0,5356.0,69.93080036558298,836.1788617886178,0.4299850634802091
Goiânia,2022,241.0,5489.0,95.79406631762653,-89.53538862353452,0.0439059938057934
Goiânia,2023,2337.0,5716.0,70.97975909598907,869.7095435684647,0.40885234429671097
Goiânia,2024,2241.0,6089.0,73.09723889555822,-4.107830551989733,0.368040729183774
